Date,Open,High,Low,Close,Adj Close,Volume,ma,ema,%k,%d,SignalLine,macd_Histogram,sd,upperband,lowerband,Tenkan-sen,Kijun-sen,Senkou Span A,Senkou Span B,Chikou Span,Prev Close,TR,+DM,-DM,ATR,+DI,-DI,DX,ADX
2022-09-09,3195.0,3233.5,3168.5,3217.64990234375,3062.515625,1561185,,3217.64990234375,,,0.0,0.0,,,,,,,,3144.699951171875,,65.0,0.0,0.0,,,,,
2022-09-12,3239.89990234375,3269.800048828125,3225.0,3242.949951171875,3086.59619140625,1785928,,3221.0232421875,,,0.5476201045048583,1.642860313514575,,,,,,,,3121.85009765625,3217.64990234375,52.150146484375,0.0,56.5,,,,,
2022-09-13,3263.449951171875,3263.449951171875,3225.0,3229.35009765625,3073.65185546875,1972678,,3222.1334895833334,,,1.0598645762780734,1.5367334153196452,,,,,,,,3157.300048828125,3242.949951171875,38.449951171875,0.0,0.0,,,,,
2022-09-14,3135.0,3141.39990234375,3113.800048828125,3120.39990234375,2969.954833984375,5090269,,3208.5690112847224,,,-0.850263967223583,-5.730385630504969,,,,,,,,3137.39990234375,3229.35009765625,115.550048828125,0.0,0.0,,,,,
2022-09-15,3130.0,3137.75,3100.0,3104.35009765625,2954.6787109375,2138023,,3194.6731561342594,,,-4.3001578133065195,-10.34968153824881,,,,,,,,3161.699951171875,3120.39990234375,37.75,0.0,0.0,,,,,
2022-09-16,3076.0,3094.35009765625,3000.0,3008.699951171875,2863.640380859375,5322221,,3169.8767288059416,,,-10.387832548718963,-18.263024206237333,,,,,,,,3162.10009765625,3104.35009765625,104.35009765625,0.0,0.0,,,,,
2022-09-19,3036.0,3042.0,2987.800048828125,3028.800048828125,2882.771484375,2072220,,3151.0665048088995,,,-16.985589245123265,-19.79327008921291,,,,,,,,3157.39990234375,3008.699951171875,54.199951171875,0.0,0.0,,,,,
2022-09-20,3050.0,3079.949951171875,3030.0,3040.300048828125,2893.717041015625,1544295,,3136.2976440114626,,,-23.02998144679509,-18.13317660501548,,,,,,,,3163.25,3028.800048828125,51.14990234375,0.0,42.199951171875,,,,,
2022-09-21,3028.0,3041.39990234375,2998.14990234375,3001.199951171875,2856.50146484375,2253818,,3118.2846182995177,,,-29.04278252619389,-18.038403238196395,,,,3128.800048828125,,,,3193.14990234375,3040.300048828125,43.25,0.0,0.0,,,,,
2022-09-22,2990.0,3029.949951171875,2979.300048828125,3007.39990234375,2862.403076171875,2017983,,3103.4999895054157,,,-34.30959001578195,-15.800422468764182,,,,3124.550048828125,,,,3259.699951171875,3001.199951171875,50.64990234375,0.0,0.0,,,,,
2022-09-23,3004.0,3022.5,2979.0,2982.050048828125,2838.275390625,2652374,,3087.306664081777,,,-39.15199692033339,-14.52722071365433,,,,3121.2249755859375,,,,3241.699951171875,3007.39990234375,43.5,0.0,0.0,,,,,
2022-09-26,2959.85009765625,3025.85009765625,2926.10009765625,2994.39990234375,2850.029296875,2925489,,3074.91909585004,,,-42.94464640578806,-11.37794845636401,,,,3033.75,,,,3206.75,2982.050048828125,99.75,3.35009765625,0.0,,,,,
2022-09-27,3009.39990234375,3025.0,2976.0,3017.449951171875,2871.96826171875,2227447,,3067.2565432262845,,,-45.174118530707084,-6.688416374757061,,,,3031.925048828125,,,,3217.39990234375,2994.39990234375,49.0,0.0,49.89990234375,,,,,
2022-09-28,2980.0,3049.949951171875,2980.0,3035.64990234375,2889.290771484375,2739767,3073.617832728795,3063.0423244419467,31.873674789298157,,-45.7725003130835,-1.7951453471292496,93.24199854104474,3260.1018298108843,2887.1338356467054,3010.22509765625,,,,3233.699951171875,3017.449951171875,69.949951171875,24.949951171875,0.0,62.478567940848215,3.2354007554487847,16.988666035311773,68.00444946189666,
2022-09-29,3054.0,3055.85009765625,2990.0,2997.300048828125,2852.790283203125,2493902,3057.8785574776784,3054.2766876934375,20.71572920773266,,-46.050616116027804,-0.8343474088329188,85.32018151599165,3228.5189205096617,2887.238194445695,3003.0250244140625,,,,3216.050048828125,3035.64990234375,65.85009765625,0.0,10.0,62.53928920200893,3.2322594083574137,18.114310395836547,69.71635782230106,
2022-09-30,2990.85009765625,3019.699951171875,2950.10009765625,3004.550048828125,2859.6904296875,2817353,3040.8499930245534,3047.6464691780625,23.254775525859667,25.281393174296827,-45.772970826196406,0.832935869494186,67.4632862145016,3175.7765654535565,2905.9234205955504,3003.0250244140625,,,,3205.64990234375,2997.300048828125,69.599853515625,0.0,0.0,63.785696847098215,3.1690992794158777,11.433357382877398,56.59498462886477,
2022-10-03,2995.0,3020.699951171875,2974.0,2984.949951171875,2841.034912109375,1763331,3023.392839704241,3039.286933443904,27.33390938326371,23.768138038952014,-45.4344977117916,1.0154193432144254,41.595884812602634,3106.5846093294463,2940.2010700790356,2990.97509765625,,,,3315.949951171875,3004.550048828125,46.699951171875,0.0,23.89990234375,64.37498256138393,3.1400894861979576,13.980559222368893,63.318101555033756,
2022-10-04,3029.949951171875,3098.0,3023.0,3091.14990234375,2942.115234375,2145875,3021.303553989955,3046.2019959638837,77.98246200909429,42.85704897273922,-42.59324145447142,8.52376877196054,36.80757338657865,3094.9187007631126,2947.6884072167977,3012.050048828125,,,,3335.5,2984.949951171875,113.050048828125,77.300048828125,0.0,64.1964111328125,11.749666352373726,14.019448132021505,8.808148145805594,
2022-10-06,3111.0,3124.0,3092.449951171875,3101.949951171875,2952.394287109375,1790816,3021.1321149553573,3053.6350566582823,88.85797892420163,64.72478343885321,-38.16569597186042,13.282636447832992,36.39428151046518,3093.9206779762876,2948.343551934427,3025.050048828125,,,,3332.60009765625,3091.14990234375,32.85009765625,0.0,69.449951171875,63.84641810825893,11.81407562365328,21.866055720938082,29.84543021652745,
2022-10-07,3097.39990234375,3105.0,3058.10009765625,3064.89990234375,2917.130615234375,1939879,3025.14639718192,3055.1370360830115,70.1363684588415,78.99226979737914,-33.83918414168307,12.97953549053205,37.98231015175371,3101.111017485427,2949.1817768784126,3025.050048828125,,,,3355.35009765625,3101.949951171875,46.89990234375,0.0,0.0,59.742832728794646,12.625554855332608,23.367980260912994,29.845430216527458,
2022-10-10,3010.0,3127.0,3005.0,3118.550048828125,2968.19384765625,3064063,3031.557111467634,3063.5921044490265,95.79394958718461,84.92943232340924,-28.598147905896504,15.723108707359707,45.480391261918264,3122.5178939914704,2940.5963289437977,3038.550048828125,,,,3349.0,3064.89990234375,122.0,22.0,0.0,64.585693359375,14.11193751380413,21.615767568977446,21.002832501519038,
2022-10-11,3100.0,3145.0,3053.35009765625,3069.550048828125,2921.556396484375,4730645,3033.64639718192,3064.3864970329064,65.5322134162527,77.15417715409295,-24.194569459369113,13.210735339582179,46.571673951042804,3126.7897450840055,2940.503049279834,3047.550048828125,,,,3343.449951171875,3118.550048828125,91.64990234375,0.0,48.35009765625,67.47855050223214,13.506947944044306,21.34009908282487,22.478665502820746,
2022-10-12,3084.89990234375,3109.89990234375,3062.050048828125,3100.75,2951.251953125,1665247,3040.7571149553573,3069.2349640951857,79.78528106855347,80.37048135733026,-19.81901719548791,13.126656791643605,48.78384027899495,3138.3247955133475,2943.189434397367,3047.550048828125,,,,3283.5,3069.550048828125,47.849853515625,0.0,8.699951171875,67.80711146763393,13.441499707715213,22.153155171203274,24.47461702641112,
2022-10-13,3100.75,3110.0,3052.35009765625,3103.300048828125,2953.67919921875,2054781,3047.6071254185267,3073.776975392911,80.95021938091531,75.42257128857382,-15.658984573762913,12.480097865174988,50.44434700212806,3148.495819422783,2946.7184314142705,3047.550048828125,,,,3314.949951171875,3100.75,57.64990234375,0.10009765625,0.0,68.30711146763393,13.35357670137092,21.990996688029085,24.437754252958577,
2022-10-14,3145.0,3150.0,3071.0,3099.14990234375,2949.72900390625,2245977,3055.9714006696427,3077.1600323196894,77.28891476773373,79.3414717390675,-11.964807922365594,11.082529954191955,48.4050935285008,3152.7815877266444,2959.161213612641,3062.0,,,,3308.300048828125,3103.300048828125,79.0,40.0,0.0,70.84282575334821,16.90867812242533,21.203861450749322,11.269737929894182,
2022-10-17,3072.64990234375,3128.39990234375,3071.449951171875,3111.75,2969.38720703125,1517005,3064.3535505022323,3081.7720280103977,80.86542336862932,79.70151917242613,-8.492604914760733,10.416609022814583,47.06480529691538,3158.483161096063,2970.2239399084015,3077.5,3097.9500732421875,,,3380.14990234375,3099.14990234375,56.949951171875,0.0,0.449951171875,67.78567940848214,17.318248916545027,22.20757263380277,12.369948366613318,
2022-10-18,3150.0,3155.35009765625,3128.550048828125,3144.699951171875,3000.829345703125,1793722,3073.4428362165177,3090.1624177652616,94.811134477771,84.32182420471135,-4.664234864641365,11.485110150358103,49.53260894257624,3172.50805410167,2974.3776183313653,3080.175048828125,3097.9500732421875,,,3389.64990234375,3111.75,43.60009765625,0.0,57.10009765625,67.39997209821429,17.417355414666655,23.097715281615653,14.020362717694162,32.58477288177628
